X,Y,Full Name,City,State,Zip Code,County,Manually adjusted?
-85.2504893,31.5718352,"Abbeville, AL",Abbeville,AL,36310,HENRY,0
-87.6835974,30.4065868,"Foley, AL",Foley,AL,36535,BALDWIN,0
-86.5861037,34.7303688,"Huntsville, AL",Huntsville,AL,35801,MADISON,0
-87.4360804,30.4142478,"Lillian, AL",Lillian,AL,36549,BALDWIN,0
-149.1127777,61.5997222,"Palmer, AK",Palmer,AK,99645,MATANUSKA SUSITNA,0
-112.5837766,33.3703197,"Buckeye, AZ",Buckeye,AZ,85326,MARICOPA,0
-111.7733902,32.9110027,"Casa Grande, AZ",Casa Grande,AZ,85122,PINAL,0
-112.3576567,33.4353394,"Goodyear, AZ",Goodyear,AZ,85338,MARICOPA,0
-110.9937019,31.8542511,"Green Valley, AZ",Green Valley,AZ,85614,PIMA,0
-114.0530065,35.189443,"Kingman, AZ",Kingman,AZ,86401,MOHAVE,0
-114.565,35.2194444,"Bullhead City, AZ",Lake Mohave Marina,AZ,86429,MOHAVE,1
-112.1359906,33.9158687,"New River, AZ",New River,AZ,85087,MARICOPA,0
-111.3251355,34.2308684,"Payson, AZ",Payson,AZ,85541,GILA,0
-112.0740373,33.4483771,"Phoenix, AZ",Phoenix,AZ,85001,MARICOPA,0
-112.3679279,33.6292337,"Surprise, AZ",Surprise,AZ,85374,MARICOPA,0
-111.9260519,33.4941704,"Scottsdale, AZ",Scottsdale,AZ,85250,MARICOPA,0
-110.9747108,32.2226066,"Tucson, AZ",Tucson,AZ,85701,PIMA,0
-109.6926121,34.2549559,"Vernon, AZ",Vernon,AZ,85940,APACHE,0
-92.586828,34.5645371,"Benton, AR",Benton,AR,72015,SALINE,0
-94.1718542,36.082156,"Fayetteville, AR",Fayetteville,AR,72701,WASHINGTON,0
-94.1349259,35.8009145,"Winslow, AR",Winslow,AR,72959,WASHINGTON,0
-117.9143012,33.8365932,"Anaheim, CA",Anaheim,CA,92801,ORANGE,0
-122.2977815,40.448208,"Anderson, CA",Anderson,CA,96007,SHASTA,0
-121.805789,38.0049214,"Antioch, CA",Antioch,CA,94509,CONTRA COSTA,0
-121.8994016,36.9771729,"Aptos, CA",Aptos,CA,95001,SANTA CRUZ,0
-124.0828396,40.8665166,"Arcata, CA",Arcata,CA,95518,HUMBOLDT,0
-121.0768901,38.8965654,"Auburn, CA",Auburn,CA,95602,PLACER,0
-119.0187125,35.3732921,"Bakersfield, CA",Bakersfield,CA,93301,KERN,0
-121.4053135,39.3886118,"Bangor, CA",Bangor,CA,95914,BUTTE,0
-116.8764103,33.9255713,"Banning, CA",Banning,CA,92220,RIVERSIDE,0
-119.5794383,37.3366179,"Bass Lake, CA",Bass Lake,CA,93604,MADERA,0
-121.3598812,39.111504,"Beale AFB, CA",Beale AFB,CA,95903,YUBA,0
-121.1441396,41.1212775,"Bieber, CA",Bieber,CA,96009,LASSEN,0
-121.7127513,39.4123876,"Biggs, CA",Biggs,CA,95917,BUTTE,0
-122.1221869,37.1260578,"Boulder Creek, CA",Boulder Creek,CA,95006,SANTA CRUZ,0
-121.6957863,37.931868,"Brentwood, CA",Brentwood,CA,94513,CONTRA COSTA,0
-121.4091297,39.2421139,"Browns Valley, CA",Browns Valley,CA,95918,YUBA,0
-121.2691283,39.4732217,"Brownsville, CA",Brownsville,CA,95919,YUBA,0
-122.34809,37.5778696,"Burlingame, CA",Burlingame,CA,94010,SAN MATEO,0
-121.9418605,39.2563558,"Colusa, CA",Butte Creek,CA,95932,COLUSA,1
-121.5543062,39.6445906,"Butte Valley, CA",Butte Valley,CA,95965,BUTTE,1
-119.0376023,34.2163937,"Camarillo, CA",Camarillo,CA,93010,VENTURA,0
-121.048598,39.4521323,"Camptonville, CA",Camptonville,CA,95922,YUBA,0
-122.0507301,38.7082349,"Capay, CA",Capay,CA,95607,YOLO,0
-121.3282843,38.617127,"Carmichael, CA",Carmichael,CA,95608,SACRAMENTO,0
-119.496389,36.733611,"Centerville, CA",Centerville,CA,93657,FRESNO,1
-121.2319098,40.3062736,"Chester, CA",Chester,CA,96020,PLUMAS,0
-121.8374777,39.7284944,"Chico, CA",Chico,CA,95926,BUTTE,0
-120.2601754,37.1229997,"Chowchilla, CA",Chowchilla,CA,93610,MADERA,0
-121.2810611,38.7071247,"Citrus Heights, CA",Citrus Heights,CA,95610,SACRAMENTO,0
